11,8,3
11,8,2,3
11,10,8,3
11,8,7,3
11,10,5,3
11,8,5,3
11,8,5,2,3
11,12,9,8,3
11,10,5,8,3
11,8,5,7,3
11,10,5,7,3
11,10,8,7,3
11,8,9,7,3
11,12,9,7,3
11,8,2,7,3
11,8,7,5,3
11,10,8,5,3
11,8,10,5,3
11,8,2,5,3
11,8,7,4,3
11,8,2,4,3
11,10,5,2,3
11,8,7,2,3
11,10,8,2,3
11,10,5,1,2,3
11,12,9,7,8,3
11,10,5,7,8,3
11,12,13,9,8,3
11,15,12,9,8,3
11,15,14,10,8,3
11,10,5,2,8,3
11,10,8,2,7,3
11,10,5,2,7,3
11,8,2,4,7,3
11,8,2,5,7,3
11,8,10,5,7,3
11,10,8,5,7,3
11,10,5,8,7,3
11,12,9,8,7,3
11,12,13,9,7,3
11,15,12,9,7,3
11,10,8,9,7,3
11,8,5,2,7,3
11,10,8,2,5,3
11,8,7,2,5,3
11,8,2,7,5,3
11,12,9,7,5,3
11,8,9,7,5,3
11,10,8,7,5,3
11,12,9,8,5,3
11,15,14,10,5,3
11,8,2,1,5,3
11,10,8,2,4,3
11,8,7,2,4,3
11,10,5,2,4,3
11,8,2,7,4,3
11,12,9,7,4,3
11,8,9,7,4,3
11,10,8,7,4,3
11,10,5,7,4,3
11,8,5,7,4,3
11,8,5,2,4,3
11,8,5,1,2,3
11,8,7,4,2,3
11,8,10,5,2,3
11,10,8,5,2,3
11,8,7,5,2,3
11,12,9,7,2,3
11,8,9,7,2,3
11,10,8,7,2,3
11,10,5,7,2,3
11,8,5,7,2,3
11,10,5,8,2,3
11,12,9,8,2,3
