5,2,4
5,7,4
5,3,4
5,1,2,4
5,3,7,4
5,8,7,4
5,2,7,4
5,7,3,4
5,8,3,4
5,2,3,4
5,3,2,4
5,7,2,4
5,8,2,4
5,0,1,2,4
5,8,2,7,4
5,3,2,7,4
5,2,3,7,4
5,8,3,7,4
5,2,8,7,4
5,10,8,7,4
5,3,8,7,4
5,8,9,7,4
5,1,2,7,4
5,8,2,3,4
5,7,2,3,4
5,2,7,3,4
5,8,7,3,4
5,2,8,3,4
5,10,8,3,4
5,7,8,3,4
5,1,2,3,4
5,8,3,2,4
5,7,3,2,4
5,8,7,2,4
5,3,7,2,4
5,10,8,2,4
5,7,8,2,4
5,3,8,2,4
5,7,8,3,2,4
5,3,8,2,7,4
5,10,8,2,7,4
5,8,3,2,7,4
5,1,2,3,7,4
5,10,8,3,7,4
5,2,8,3,7,4
5,8,2,3,7,4
5,1,2,8,7,4
5,10,11,8,7,4
5,2,3,8,7,4
5,3,2,8,7,4
5,3,8,9,7,4
5,10,8,9,7,4
5,2,8,9,7,4
5,0,1,2,7,4
5,7,8,2,3,4
5,10,8,2,3,4
5,8,7,2,3,4
5,1,2,7,3,4
5,8,9,7,3,4
5,10,8,7,3,4
5,2,8,7,3,4
5,8,2,7,3,4
5,1,2,8,3,4
5,10,11,8,3,4
5,7,9,8,3,4
5,2,7,8,3,4
5,7,2,8,3,4
5,0,1,2,3,4
5,10,8,3,2,4
5,8,7,3,2,4
5,8,9,7,2,4
5,3,8,7,2,4
5,10,8,7,2,4
5,8,3,7,2,4
5,10,11,8,2,4
5,7,9,8,2,4
5,3,7,8,2,4
5,7,3,8,2,4
