14,15,11
14,10,11
14,20,15,11
14,15,12,11
14,18,10,11
14,10,8,11
14,10,5,8,11
14,20,21,15,11
14,18,20,15,11
14,15,17,12,11
14,15,21,12,11
14,20,21,12,11
14,15,22,12,11
14,20,15,12,11
14,20,18,10,11
14,18,10,8,11
14,10,5,2,8,11
14,20,21,17,15,11
14,10,18,20,15,11
14,18,20,21,15,11
14,20,21,22,15,11
14,20,21,12,15,11
14,15,17,13,12,11
14,18,20,15,12,11
14,20,21,15,12,11
14,20,15,17,12,11
14,15,22,17,12,11
14,20,21,17,12,11
14,15,21,17,12,11
14,20,15,21,12,11
14,15,22,21,12,11
14,18,20,21,12,11
14,15,20,21,12,11
14,15,17,21,12,11
14,20,15,22,12,11
14,20,21,22,12,11
14,15,21,22,12,11
14,15,17,22,12,11
14,10,8,9,12,11
14,15,20,18,10,11
14,10,5,3,8,11
14,18,10,5,8,11
14,10,5,7,8,11
14,15,12,9,8,11
14,20,18,10,8,11
