18,20,15
18,14,15
18,14,20,15
18,10,14,15
18,20,14,15
18,10,11,15
18,20,21,15
18,10,8,11,15
18,20,21,22,15
18,14,20,21,15
18,10,14,20,15
18,20,21,17,15
18,10,11,12,15
18,20,21,12,15
18,14,10,11,15
18,10,5,8,11,15
18,10,11,12,22,15
18,20,21,17,22,15
18,14,20,21,22,15
18,20,21,12,22,15
18,10,14,20,21,15
18,10,11,12,21,15
18,10,11,12,17,15
18,14,20,21,17,15
18,20,21,22,17,15
18,20,21,12,17,15
18,10,8,11,12,15
18,14,10,11,12,15
18,20,21,17,12,15
18,14,20,21,12,15
18,20,21,22,12,15
18,10,8,9,12,15
18,14,10,8,11,15
18,20,14,10,11,15
18,20,21,12,11,15
