10,11,15
10,14,15
10,8,11,15
10,14,20,15
10,18,20,15
10,18,14,15
10,11,12,15
10,5,8,11,15
10,11,12,22,15
10,18,20,21,15
10,14,20,21,15
10,11,12,21,15
10,14,18,20,15
10,18,14,20,15
10,11,12,17,15
10,18,20,14,15
10,8,11,12,15
10,8,9,12,15
10,5,2,8,11,15
10,8,11,12,22,15
10,11,12,17,22,15
10,11,12,21,22,15
10,14,20,21,22,15
10,18,20,21,22,15
10,8,9,12,22,15
10,8,11,12,21,15
10,11,12,17,21,15
10,18,14,20,21,15
10,14,18,20,21,15
10,11,12,22,21,15
10,8,9,12,21,15
10,11,12,21,20,15
10,8,11,12,17,15
10,8,9,13,17,15
10,11,12,13,17,15
10,11,12,21,17,15
10,14,20,21,17,15
10,18,20,21,17,15
10,11,12,22,17,15
10,8,9,12,17,15
10,11,8,9,12,15
10,5,8,9,12,15
10,8,7,9,12,15
10,5,8,11,12,15
10,8,9,13,12,15
10,14,20,21,12,15
10,18,20,21,12,15
10,5,7,9,12,15
10,5,7,8,11,15
10,5,3,8,11,15
10,8,9,12,11,15
