2,7,9
2,8,9
2,3,7,9
2,5,8,9
2,7,8,9
2,3,8,9
2,4,7,9
2,5,7,9
2,8,7,9
2,4,3,7,9
2,8,11,12,9
2,7,3,8,9
2,5,3,8,9
2,1,5,8,9
2,7,5,8,9
2,3,5,8,9
2,3,7,8,9
2,5,7,8,9
2,4,7,8,9
2,5,10,8,9
2,4,3,8,9
2,8,3,7,9
2,5,3,7,9
2,3,4,7,9
2,1,5,7,9
2,8,5,7,9
2,3,5,7,9
2,3,8,7,9
2,5,8,7,9
2,5,8,3,7,9
2,8,11,12,13,9
2,3,8,11,12,9
2,8,10,11,12,9
2,5,10,11,12,9
2,5,8,11,12,9
2,7,8,11,12,9
2,8,11,15,12,9
2,4,7,3,8,9
2,5,7,3,8,9
2,7,5,3,8,9
2,1,5,3,8,9
2,1,0,5,8,9
2,4,7,5,8,9
2,3,7,5,8,9
2,7,3,5,8,9
2,4,3,5,8,9
2,4,3,7,8,9
2,3,5,7,8,9
2,1,5,7,8,9
2,3,4,7,8,9
2,5,3,7,8,9
2,1,5,10,8,9
2,3,5,10,8,9
2,7,5,10,8,9
2,5,10,11,8,9
2,7,4,3,8,9
2,8,5,3,7,9
2,1,5,3,7,9
2,8,3,4,7,9
2,5,3,4,7,9
2,1,0,5,7,9
2,8,10,5,7,9
2,3,8,5,7,9
2,8,3,5,7,9
2,4,3,5,7,9
2,4,3,8,7,9
2,5,10,8,7,9
2,3,5,8,7,9
2,1,5,8,7,9
2,5,3,8,7,9
