15,17,23
15,22,23
15,21,17,23
15,21,22,23
15,12,22,23
15,17,22,23
15,22,17,23
15,12,17,23
15,11,12,17,23
15,11,12,22,23
15,21,12,22,23
15,21,17,22,23
15,12,17,22,23
15,17,21,22,23
15,12,21,22,23
15,20,21,22,23
15,17,12,22,23
15,22,12,17,23
15,21,12,17,23
15,12,13,17,23
15,12,21,17,23
15,22,21,17,23
15,20,21,17,23
15,12,22,17,23
15,21,22,17,23
15,21,22,12,17,23
15,20,21,12,22,23
15,17,21,12,22,23
15,21,17,12,22,23
15,11,12,17,22,23
15,20,21,17,22,23
15,12,21,17,22,23
15,12,13,17,22,23
15,21,12,17,22,23
15,17,12,21,22,23
15,14,20,21,22,23
15,12,17,21,22,23
15,11,12,21,22,23
15,17,13,12,22,23
15,20,21,12,17,23
15,22,21,12,17,23
15,12,9,13,17,23
15,21,12,13,17,23
15,22,12,13,17,23
15,11,12,13,17,23
15,12,22,21,17,23
15,14,20,21,17,23
15,22,12,21,17,23
15,11,12,21,17,23
15,20,21,22,17,23
15,12,21,22,17,23
15,21,12,22,17,23
15,11,12,22,17,23
