7,5,0
7,2,1,0
7,3,5,0
7,8,5,0
7,2,5,0
7,5,1,0
7,3,2,1,0
7,3,2,5,0
7,8,2,5,0
7,4,2,5,0
7,2,3,5,0
7,8,3,5,0
7,4,3,5,0
7,2,8,5,0
7,9,8,5,0
7,3,8,5,0
7,8,10,5,0
7,2,1,5,0
7,8,2,1,0
7,5,2,1,0
7,4,2,1,0
7,2,5,1,0
7,8,5,1,0
7,3,5,1,0
7,8,3,2,1,0
7,4,2,1,5,0
7,8,2,1,5,0
7,8,3,2,5,0
7,3,8,2,5,0
7,9,8,2,5,0
7,3,4,2,5,0
7,4,3,2,5,0
7,8,2,3,5,0
7,9,8,3,5,0
7,2,8,3,5,0
7,2,4,3,5,0
7,4,2,3,5,0
7,3,2,8,5,0
7,4,3,8,5,0
7,2,3,8,5,0
7,4,2,8,5,0
7,8,11,10,5,0
7,3,8,10,5,0
7,9,8,10,5,0
7,2,8,10,5,0
7,3,2,1,5,0
7,3,8,2,1,0
7,5,8,2,1,0
7,9,8,2,1,0
7,3,5,2,1,0
7,8,5,2,1,0
7,3,4,2,1,0
7,4,3,2,1,0
7,5,3,2,1,0
7,8,10,5,1,0
7,3,8,5,1,0
7,9,8,5,1,0
7,2,8,5,1,0
7,4,3,5,1,0
7,8,3,5,1,0
7,2,3,5,1,0
7,4,2,5,1,0
7,8,2,5,1,0
7,3,2,5,1,0
