20,18,10
20,14,10
20,14,18,10
20,18,14,10
20,15,14,10
20,15,11,10
20,15,11,8,10
20,15,14,18,10
20,21,15,14,10
20,14,15,11,10
20,15,12,11,10
20,21,12,11,10
20,21,15,11,10
20,15,11,8,5,10
20,21,15,14,18,10
20,21,12,15,14,10
20,21,22,15,14,10
20,21,17,15,14,10
20,21,22,12,11,10
20,15,22,12,11,10
20,15,21,12,11,10
20,21,17,12,11,10
20,15,17,12,11,10
20,14,15,12,11,10
20,21,17,15,11,10
20,18,14,15,11,10
20,21,12,15,11,10
20,21,22,15,11,10
20,21,15,12,11,10
20,21,12,9,8,10
20,21,15,11,8,10
20,21,12,11,8,10
20,15,12,11,8,10
20,14,15,11,8,10
20,15,12,9,8,10
