8,10,14
8,5,10,14
8,10,18,14
8,11,15,14
8,11,10,14
8,2,5,10,14
8,10,18,20,14
8,11,15,20,14
8,11,10,18,14
8,5,10,18,14
8,9,12,15,14
8,11,12,15,14
8,10,11,15,14
8,7,5,10,14
8,3,5,10,14
8,2,1,5,10,14
8,11,12,15,20,14
8,9,12,15,20,14
8,5,10,18,20,14
8,11,10,18,20,14
8,9,12,21,20,14
8,11,15,21,20,14
8,11,12,21,20,14
8,10,11,15,20,14
8,3,5,10,18,14
8,7,5,10,18,14
8,11,15,20,18,14
8,2,5,10,18,14
8,9,12,11,15,14
8,7,9,12,15,14
8,9,13,12,15,14
8,10,11,12,15,14
8,9,12,17,15,14
8,9,13,17,15,14
8,11,12,17,15,14
8,10,18,20,15,14
8,9,12,21,15,14
8,11,12,21,15,14
8,9,12,22,15,14
8,11,12,22,15,14
8,5,10,11,15,14
8,3,7,5,10,14
8,9,7,5,10,14
8,2,7,5,10,14
8,7,3,5,10,14
8,2,3,5,10,14
8,7,2,5,10,14
8,3,2,5,10,14
8,9,12,11,10,14
