12,15,20
12,21,20
12,15,14,20
12,17,21,20
12,22,21,20
12,15,21,20
12,21,15,20
12,22,15,20
12,11,15,20
12,17,15,20
12,11,10,14,20
12,11,15,21,20
12,22,15,21,20
12,15,17,21,20
12,13,17,21,20
12,22,17,21,20
12,15,22,21,20
12,17,22,21,20
12,17,15,21,20
12,15,14,18,20
12,11,10,18,20
12,22,17,15,20
12,21,17,15,20
12,22,21,15,20
12,17,21,15,20
12,21,22,15,20
12,17,22,15,20
12,13,17,15,20
12,17,15,14,20
12,11,15,14,20
12,22,15,14,20
12,21,15,14,20
12,9,8,10,14,20
12,17,22,15,21,20
12,22,17,15,21,20
12,9,13,17,21,20
12,22,23,17,21,20
12,15,22,17,21,20
12,22,15,17,21,20
12,11,15,17,21,20
12,17,15,22,21,20
12,17,23,22,21,20
12,13,17,22,21,20
12,15,17,22,21,20
12,11,15,22,21,20
12,13,17,15,21,20
12,15,14,10,18,20
12,15,11,10,18,20
12,11,8,10,18,20
12,11,10,14,18,20
12,21,15,14,18,20
12,22,15,14,18,20
12,11,15,14,18,20
12,17,15,14,18,20
12,9,8,10,18,20
12,11,10,14,15,20
12,9,13,17,15,20
12,22,23,17,15,20
12,21,22,17,15,20
12,22,21,17,15,20
12,17,22,21,15,20
12,22,17,21,15,20
12,13,17,21,15,20
12,17,23,22,15,20
12,17,21,22,15,20
12,21,17,22,15,20
12,13,17,22,15,20
12,9,8,11,15,20
12,15,11,10,14,20
12,11,8,10,14,20
12,13,17,15,14,20
12,17,22,15,14,20
12,21,22,15,14,20
12,17,21,15,14,20
12,22,21,15,14,20
12,21,17,15,14,20
12,22,17,15,14,20
12,11,10,18,14,20
12,9,7,5,10,14,20
12,13,17,22,15,21,20
12,17,23,22,15,21,20
12,22,23,17,15,21,20
12,9,13,17,15,21,20
12,11,10,14,15,21,20
12,15,22,23,17,21,20
12,11,15,22,17,21,20
12,13,17,15,22,21,20
12,13,17,23,22,21,20
12,15,17,23,22,21,20
12,11,15,17,22,21,20
12,9,13,17,22,21,20
12,9,8,11,15,21,20
12,17,15,14,10,18,20
12,11,15,14,10,18,20
12,22,15,14,10,18,20
12,21,15,14,10,18,20
12,17,15,11,10,18,20
12,22,15,11,10,18,20
12,21,15,11,10,18,20
12,9,8,11,10,18,20
12,13,9,8,10,18,20
12,15,11,8,10,18,20
12,9,7,8,10,18,20
12,9,8,5,10,18,20
12,11,8,5,10,18,20
12,9,8,10,14,18,20
12,22,17,15,14,18,20
12,21,17,15,14,18,20
12,22,21,15,14,18,20
12,17,21,15,14,18,20
12,21,22,15,14,18,20
12,17,22,15,14,18,20
12,13,17,15,14,18,20
12,11,8,10,14,18,20
12,15,11,10,14,18,20
12,9,7,5,10,18,20
12,9,8,10,11,15,20
12,13,9,8,11,15,20
12,9,8,10,14,15,20
12,11,10,18,14,15,20
12,11,8,10,14,15,20
12,21,22,23,17,15,20
12,13,17,22,21,15,20
12,17,23,22,21,15,20
12,22,23,17,21,15,20
12,9,13,17,21,15,20
12,13,17,23,22,15,20
12,21,17,23,22,15,20
12,13,17,21,22,15,20
12,9,13,17,22,15,20
12,9,7,8,11,15,20
12,17,15,11,10,14,20
12,22,15,11,10,14,20
12,21,15,11,10,14,20
12,9,8,11,10,14,20
12,13,9,8,10,14,20
12,15,11,8,10,14,20
12,9,7,8,10,14,20
12,9,8,5,10,14,20
12,11,8,5,10,14,20
12,9,8,11,15,14,20
12,13,17,22,15,14,20
12,21,17,22,15,14,20
12,17,21,22,15,14,20
12,17,23,22,15,14,20
12,13,17,21,15,14,20
12,22,17,21,15,14,20
12,17,22,21,15,14,20
12,22,21,17,15,14,20
12,21,22,17,15,14,20
12,22,23,17,15,14,20
12,9,13,17,15,14,20
12,9,8,10,18,14,20
12,11,8,10,18,14,20
12,15,11,10,18,14,20
12,9,7,2,5,10,14,20
12,9,13,17,22,15,21,20
12,13,17,23,22,15,21,20
